id,nameKo,nameEn,material,color,texture,season,imageUrl,descriptionKo
fabric_01,화이트 코튼,White Cotton,Cotton,White,plain,spring/summer,/fabrics/fabric_01_cotton_plain_white.png,기본 셔츠와 블라우스에 적합한 깨끗한 화이트 코튼 원단
fabric_02,내추럴 린넨,Natural Beige Linen,Linen,Beige,slub,spring/summer,/fabrics/fabric_02_linen_natural_beige.png,자연스러운 조직감이 있는 베이지 린넨 원단
fabric_03,블랙 쉬폰,Black Poly Chiffon,Polyester,Black,sheer,all season,/fabrics/fabric_03_poly_chiffon_black.png,가볍고 흐르는 느낌의 블랙 쉬폰 원단
fabric_04,핑크 플라워 레이온,Pink Floral Rayon,Rayon,Pink,floral,spring/summer,/fabrics/fabric_04_rayon_flower_pink.png,부드러운 촉감과 잔꽃 패턴의 레이온 원단
fabric_05,아이보리 새틴,Ivory Satin,Satin,Ivory,satin,all season,/fabrics/fabric_05_satin_ivory.png,은은한 광택이 있는 아이보리 새틴 원단
fabric_06,라이트 블루 데님,Light Blue Denim,Cotton Denim,Light Blue,denim,all season,/fabrics/fabric_06_denim_light_blue.png,밝은 워싱감의 캐주얼 데님 원단
fabric_07,그레이 골지 니트,Gray Rib Knit,Knit,Gray,rib,fall/winter,/fabrics/fabric_07_knit_rib_gray.png,신축성이 있는 그레이 골지 니트 원단
fabric_08,아이보리 믹스 트위드,Ivory Mix Tweed,Tweed,Ivory Mix,tweed,fall/winter,/fabrics/fabric_08_tweed_ivory_mix.png,고급스러운 조직감의 아이보리 믹스 트위드 원단
fabric_09,블루 스트라이프 코튼,Blue Stripe Cotton,Cotton,Blue/White,stripe,spring/summer,/fabrics/fabric_09_cotton_stripe_blue.png,셔츠와 원피스에 적합한 블루 스트라이프 코튼 원단
fabric_10,모카 크레이프,Mocha Poly Crepe,Polyester,Mocha,crepe,all season,/fabrics/fabric_10_poly_crepe_mocha.png,잔잔한 표면감과 드레이프가 있는 모카 크레이프 원단
fabric_11,화이트 레이스,White Lace,Lace,White,lace,spring/summer,/fabrics/fabric_11_lace_white.png,블라우스 포인트와 원피스에 적합한 화이트 레이스 원단
fabric_12,브라운 코듀로이,Brown Corduroy,Cotton Corduroy,Brown,corduroy,fall/winter,/fabrics/fabric_12_corduroy_brown.png,따뜻한 골 조직의 브라운 코듀로이 원단
fabric_13,블랙 메쉬,Black Mesh,Poly Mesh,Black,mesh,spring/summer,/fabrics/fabric_13_mesh_black.png,레이어드와 포인트 디테일에 적합한 블랙 메쉬 원단
fabric_14,브라운 울 체크,Brown Wool Check,Wool Blend,Brown Check,check,fall/winter,/fabrics/fabric_14_wool_check_brown.png,재킷과 스커트에 적합한 브라운 체크 울 혼방 원단
fabric_15,스카이 조젯,Sky Blue Georgette,Polyester,Sky Blue,georgette,spring/summer,/fabrics/fabric_15_poly_georgette_sky.png,가볍고 부드러운 스카이 블루 조젯 원단
fabric_16,블랙 페이크 레더,Black Faux Leather,PU,Black,leather,fall/winter,/fabrics/fabric_16_faux_leather_black.png,광택과 표면감이 있는 블랙 페이크 레더 원단
fabric_17,버건디 벨벳,Burgundy Velvet,Velvet,Burgundy,velvet,fall/winter,/fabrics/fabric_17_velvet_burgundy.png,깊은 컬러와 부드러운 광택의 버건디 벨벳 원단
fabric_18,민트 시어서커,Mint Seersucker,Cotton Blend,Mint,seersucker,spring/summer,/fabrics/fabric_18_seersucker_mint.png,시원한 요철감의 민트 시어서커 원단
fabric_19,네이비 플라워 쉬폰,Navy Floral Chiffon,Polyester,Navy,floral,spring/summer,/fabrics/fabric_19_floral_chiffon_navy.png,네이비 바탕에 플라워 패턴이 있는 쉬폰 원단
fabric_20,차콜 헤링본,Charcoal Herringbone,Wool Blend,Charcoal,herringbone,fall/winter,/fabrics/fabric_20_herringbone_charcoal.png,코트와 재킷에 적합한 차콜 헤링본 울 혼방 원단
